Water system name,Water body type,Water body name,Water body abbraviation,Sampling station,Sample name,Sampling date,Sample type,Latitude,Longitude,Elevation,Sample memo,pH,Temperature [C],Alkalinity [meq/L],Electrical conductivity [mS/m],Oxidation-reduction potential [mV],Dissolved oxygen [mg/L],Flow rate [m3/s],Na+ [ppm],Ca++ [ppm],K+ [ppm],Mg++ [ppm],Si [ppm],Cl- [ppm],SO4-- [ppm],NO2- [ppm],NO3- [ppm],Ionic strength [mol/kgw],Charge imbalance [eq],Charge imbalance [%],log a Ca++,log a Mg++,log a CO3--,si_CO2(g),si_Monohydrocalcite,si_AMC_TK,si_MSH075KF,si_Gypsum,HCO3- [ppm]
,,,,,Olgoy_Basalt,2024-05-09,Solid,46.174669,99.995192,1999.0,Collected basalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,3,BTS_03,2024-08-02,Solid,45.603778,98.980889,,Floating sediments,,,,,,,,0.0,78.2,22.3,7.33,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,3,BTS_03,2024-08-02,Solid,45.607604,98.979188,,Collected sediments,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orog Lake,Lake,Orog Lake,Orog Lake,,Orog,2024-08-01,Solid,45.0687,100.57225,1202.0,"Dried Lake, Collected Salt",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,1,BTS_01,2024-05-08,Water,45.612994,99.229542,1305.0,,9.12,13.5,15.0,881.0,104.0,,,1490.0,26.6,88.7,233.0,0.709,1550.0,1880.0,0.0,0.0,0.10352150111658531,-0.010289349981884719,-6.293327475528636,-3.769621741716117,-2.5879622591380538,-3.4487179010265625,-3.4744913499688117,0.090869879328491,-0.31963430385716496,-0.1826981102869567,-1.541876838132132,793.3332961049817
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,3,BTS_03,2024-05-08,Water,45.607683,98.979019,1302.0,,8.88,20.4,18.7,1100.0,,,,1930.0,41.6,150.0,291.0,1.12,1980.0,2600.0,0.0,0.0,0.13275357786897993,-0.014883640326409087,-7.069472579936916,-3.6217420581823063,-2.557973699584328,-3.5108034633129974,-3.0775205442122946,0.11030441144708814,-0.41873320699624816,-0.29408028854565327,-1.3081867341324944,1018.9744506355233
Boon Tsagaan Lake,River,Baidrag River,BD,1,BD_01,2024-05-08,Water,46.1764,99.265456,1547.0,,8.26,13.8,2.02,36.7,,,,10.7,25.8,1.56,9.71,3.29,4.84,29.3,0.5,1.94,0.003950955023274227,-0.0003490468245652853,-6.536845083058157,-3.3273432851754516,-3.5316640019312455,-4.936447362698786,-3.2443445035691445,-0.9565524549263036,-2.7509348920586767,-1.3679395323767238,-2.482473181540092,123.12601616841363
Boon Tsagaan Lake,River,Baidrag River,BD,01-1,BD_01-1,2024-05-09,Water,46.176078,99.264506,1552.0,Considered diluted by rain a day before,7.77,10.5,1.63,22.1,,,,7.17,22.3,1.5,6.58,2.82,3.49,21.9,0.39,1.54,0.003127475404760892,-0.0003177580609729794,-7.514300989730221,-3.370867429274562,-3.682546151366986,-5.54070292831536,-2.856057897436095,-1.5703076007733197,-3.472035878433571,-2.27828964453692,-2.634863905925907,103.62559698793049
Boon Tsagaan Lake,River,Baidrag River,BD,2,BD_02,2024-05-08,Water,45.861392,99.337881,1434.0,,8.28,15.1,1.95,26.5,,,,9.52,24.4,1.35,9.49,3.18,5.2,30.6,0.43,1.51,0.0038132326350728647,-0.0004252407111617326,-8.297014633837984,-3.3508288568950797,-3.541373106001557,-4.919095910793905,-3.2714863915747294,-0.9756211539957436,-2.756224352720965,-1.3605929516035786,-2.4835348648827704,118.62691429895732
Boon Tsagaan Lake,River,Baidrag River,BD,T,BD_T,2024-05-08,Water,46.175,99.025292,1858.0,,8.61,15.5,4.18,49.8,,,,24.0,43.1,3.28,16.7,6.38,12.8,36.7,2.01,5.6,0.006916590477026739,-0.001195763737083144,-12.131700403343222,-3.163552520108611,-3.3428822135778358,-4.287254857245292,-3.300945862639871,-0.16046233690380607,-1.9299120953907716,-0.42346575155189736,-2.2699163691800424,246.29233703717256
Olgoy Lake,Lake,Olgoy Lake,Olgoy Lake,,Olgoy,2024-05-09,Water,46.562472,100.112353,2035.0,,9.27,13.4,15.4,225.0,,,,251.0,11.0,21.5,148.0,0.0,144.0,207.0,0.0,0.0,0.02692291333049228,0.00042291103596033084,1.0611782733857111,-4.038704478002386,-2.612617055463582,-3.2491678602190293,-3.5754057378309465,0.023172736663411797,-0.14125347358009055,-999.999,-2.575502861641313,794.2838684025721
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,1,BTS_01,2024-06-15,Water,45.610945,99.228536,,Collected by Baaska,9.2,21.8,14.1,995.0,207.0,,,1760.0,28.4,108.0,207.0,0.242,1810.0,2230.0,0.0,0.0,0.11603243997429902,-0.013823229238461559,-7.473323574468443,-3.797280451465658,-2.7033549987439134,-3.3631708627351014,-3.57351344031901,0.07004289298490818,-0.42849115672343263,-0.6867079316328955,-1.5087518626296905,714.7907316086338
Boon Tsagaan Lake,Lake,Boon Tsagaan Lake,BTS,3,BTS_03,2024-06-15,Water,45.600978,98.982341,,Collected by Baaska,9.09,20.2,14.5,959.0,185.0,,,1770.0,27.9,109.0,275.0,0.255,1810.0,2320.0,0.0,0.0,0.11977148810688724,-0.010066252085681831,-5.318034205640427,-3.7851103275272417,-2.56559507327755,-3.456173272916085,-3.4425193141564403,0.003525496102764869,-0.3694737836393722,-0.6805755631292509,-1.5014342718852554,752.3194656515328
Boon Tsagaan Lake,River,Baidrag River,BD,1,BD_01,2024-06-15,Water,46.176389,99.265278,,Collected by Baaska,8.31,20.8,2.1,35.6,205.0,,,14.4,37.6,2.01,14.31,3.07,6.88,48.3,0.865,2.22,0.005297727257139066,0.00021152716376814757,3.0905089579373715,-3.1885493517340655,-3.3901896184457008,-4.817210741467163,-3.2463087496876506,-0.7651542012825638,-2.5568702258577276,-1.2198849505548548,-2.1545674231690324,126.40112827815031
Boon Tsagaan Lake,River,Baidrag River,BD,2,BD_02,2024-06-15,Water,45.861389,99.337889,,Collected by Baaska,8.83,23.9,2.01,35.2,235.0,,,14.5,37.0,2.15,14.79,2.78,6.6,49.1,0.766,1.19,0.005108429916183853,0.0003908568200627706,6.0387287912910885,-3.214739135645236,-3.385704332305635,-4.338072512213472,-3.8142483001474847,-0.33937930883300904,-2.100415338768853,-0.5043586757895149,-2.1693931111961877,113.49732768931874
